date,expiry,dte,weekday,entry_time,exit_time,spot_entry,atm_strike,mp_strike_proxy,mp_dist_pct,gap_pct,intraday_pct_to_1030,intraday_range_pct_to_1030,vix_proxy,ce_entry,pe_entry,entry_premium,ce_exit,pe_exit,exit_premium,pnl_per_share,pnl_per_lot_gross,pnl_per_lot_net,rs_per_cr,rs_per_cr_axis,rs_per_cr_monarch
2026-01-19,2026-01-20,1,Monday,10:30,15:25,25552.4,25550,25600,0.186,-0.479,0.32,0.546,9.16,67.55,98.15,165.7,60.35,66.05,126.4,39.3,2947.0,2747.0,116915.0,124915.0,124574.0
2026-02-02,2026-02-03,1,Monday,09:30,11:00,24944.5,24950,25500,2.227,-2.458,0.416,0.915,10.89,128.35,204.95,333.3,53.3,242.9,296.2,37.1,2782.0,2582.0,109894.0,117894.0,117553.0
2026-02-02,2026-02-03,1,Monday,09:30,12:00,24944.5,24950,25500,2.227,-2.458,0.416,0.915,10.89,128.35,204.95,333.3,87.5,162.65,250.15,83.15,6236.0,6036.0,256862.0,264862.0,264521.0
2026-02-02,2026-02-03,1,Monday,09:30,13:00,24944.5,24950,25500,2.227,-2.458,0.416,0.915,10.89,128.35,204.95,333.3,112.5,119.95,232.45,100.85,7564.0,7364.0,313351.0,321351.0,321011.0
2026-02-02,2026-02-03,1,Monday,09:30,15:25,24944.5,24950,25500,2.227,-2.458,0.416,0.915,10.89,128.35,204.95,333.3,165.2,46.55,211.75,121.55,9116.0,8916.0,379415.0,387415.0,387074.0
2026-02-02,2026-02-03,1,Monday,10:00,11:00,24902.0,24900,25500,2.401,-2.458,0.416,0.915,10.89,112.05,175.35,287.4,68.75,210.3,279.05,8.35,626.0,426.0,18138.0,26138.0,25798.0
2026-02-02,2026-02-03,1,Monday,10:00,12:00,24902.0,24900,25500,2.401,-2.458,0.416,0.915,10.89,112.05,175.35,287.4,110.7,135.65,246.35,41.05,3079.0,2879.0,122500.0,130500.0,130160.0
2026-02-02,2026-02-03,1,Monday,10:00,13:00,24902.0,24900,25500,2.401,-2.458,0.416,0.915,10.89,112.05,175.35,287.4,140.65,98.0,238.65,48.75,3656.0,3456.0,147074.0,155074.0,154734.0
2026-02-02,2026-02-03,1,Monday,10:00,15:25,24902.0,24900,25500,2.401,-2.458,0.416,0.915,10.89,112.05,175.35,287.4,202.55,34.45,237.0,50.4,3780.0,3580.0,152340.0,160340.0,160000.0
2026-02-02,2026-02-03,1,Monday,10:30,11:00,24911.7,24900,25500,2.362,-2.458,0.416,0.915,10.89,99.3,158.9,258.2,68.75,210.3,279.05,-20.85,-1564.0,-1764.0,-75053.0,-67053.0,-67394.0
2026-02-02,2026-02-03,1,Monday,10:30,12:00,24911.7,24900,25500,2.362,-2.458,0.416,0.915,10.89,99.3,158.9,258.2,110.7,135.65,246.35,11.85,889.0,689.0,29309.0,37309.0,36968.0
2026-02-02,2026-02-03,1,Monday,10:30,13:00,24911.7,24900,25500,2.362,-2.458,0.416,0.915,10.89,99.3,158.9,258.2,140.65,98.0,238.65,19.55,1466.0,1266.0,53883.0,61883.0,61543.0
