date,expiry,dte,weekday,entry_time,exit_time,spot_entry,atm_strike,mp_strike_proxy,mp_dist_pct,gap_pct,intraday_pct_to_1030,intraday_range_pct_to_1030,vix_proxy,ce_entry,pe_entry,entry_premium,ce_exit,pe_exit,exit_premium,pnl_per_share,pnl_per_lot_gross,pnl_per_lot_net,rs_per_cr,rs_per_cr_axis,rs_per_cr_monarch
2025-10-16,2025-10-20,2,Thursday,10:00,15:25,25517.1,25500,25400,0.459,0.106,0.279,0.304,10.33,80.9,102.6,183.5,158.5,53.1,211.6,-28.1,-2107.0,-2307.0,-98191.0,-90191.0,-90532.0
2025-07-11,2025-07-17,4,Friday,09:30,13:00,25356.5,25350,25500,0.566,-0.311,0.118,0.363,11.45,114.0,141.35,255.35,65.35,218.0,283.35,-28.0,-2100.0,-2300.0,-97872.0,-89872.0,-90213.0
2025-12-01,2025-12-02,1,Monday,09:30,11:00,26466.0,26450,26300,0.627,0.224,0.005,0.242,10.33,23.65,160.25,183.9,11.75,199.85,211.6,-27.7,-2077.0,-2277.0,-96915.0,-88915.0,-89255.0
2025-10-08,2025-10-14,4,Wednesday,10:30,12:00,25212.5,25200,25200,0.05,-0.088,0.056,0.424,9.35,81.75,131.1,212.85,59.15,181.3,240.45,-27.6,-2070.0,-2270.0,-96596.0,-88596.0,-88936.0
2025-10-16,2025-10-20,2,Thursday,09:30,15:25,25509.6,25500,25400,0.43,0.106,0.279,0.304,10.33,81.1,103.05,184.15,158.5,53.1,211.6,-27.45,-2059.0,-2259.0,-96117.0,-88117.0,-88457.0
2025-07-02,2025-07-03,1,Wednesday,09:30,11:00,25660.2,25650,25600,0.235,-0.957,0.133,0.349,11.97,46.95,121.5,168.45,24.0,171.9,195.9,-27.45,-2059.0,-2259.0,-96117.0,-88117.0,-88457.0
2025-05-06,2025-05-08,2,Tuesday,10:00,15:25,24480.6,24500,24500,0.079,0.032,0.38,0.475,14.22,33.7,142.55,176.25,22.75,180.9,203.65,-27.4,-2055.0,-2255.0,-95957.0,-87957.0,-88298.0
2025-06-16,2025-06-19,3,Monday,09:30,13:00,24822.0,24800,24800,0.089,0.078,0.512,0.614,11.07,135.4,151.65,287.05,225.5,88.8,314.3,-27.25,-2044.0,-2244.0,-95479.0,-87479.0,-87819.0
2025-12-29,2025-12-30,1,Monday,10:30,15:25,26035.0,26050,26000,0.134,0.084,0.168,0.274,7.56,42.15,57.85,100.0,19.95,107.15,127.1,-27.1,-2033.0,-2233.0,-95000.0,-87000.0,-87340.0
2025-09-04,2025-09-09,3,Thursday,09:30,11:00,25009.9,25000,25000,0.04,0.428,0.062,0.491,10.22,71.0,142.0,213.0,49.85,190.0,239.85,-26.85,-2014.0,-2214.0,-94202.0,-86202.0,-86543.0
2025-12-01,2025-12-02,1,Monday,10:30,11:00,26454.0,26450,26300,0.582,0.224,0.005,0.242,10.33,17.9,166.95,184.85,11.75,199.85,211.6,-26.75,-2006.0,-2206.0,-93883.0,-85883.0,-86223.0
2026-03-18,2026-03-24,4,Wednesday,09:30,12:00,23748.0,23750,23700,0.202,0.208,0.331,0.529,18.95,206.75,230.1,436.85,257.95,205.6,463.55,-26.7,-2002.0,-2202.0,-93723.0,-85723.0,-86064.0
2025-12-04,2025-12-09,3,Thursday,10:30,13:00,26220.0,26200,26000,0.839,-0.144,0.441,0.589,10.06,71.25,162.05,233.3,43.1,216.9,260.0,-26.7,-2002.0,-2202.0,-93723.0,-85723.0,-86064.0
2026-02-26,2026-03-02,2,Thursday,10:00,12:00,25665.6,25650,25500,0.645,0.215,0.006,0.347,15.68,78.4,188.05,266.45,58.1,235.0,293.1,-26.65,-1999.0,-2199.0,-93564.0,-85564.0,-85904.0
2025-06-16,2025-06-19,3,Monday,09:30,11:00,24822.0,24800,24800,0.089,0.078,0.512,0.614,11.07,135.4,151.65,287.05,205.9,107.75,313.65,-26.6,-1995.0,-2195.0,-93404.0,-85404.0,-85745.0
2025-05-23,2025-05-29,4,Friday,10:30,12:00,24815.0,24800,25000,0.746,-0.035,0.598,0.949,19.21,211.4,196.25,407.65,251.35,182.9,434.25,-26.6,-1995.0,-2195.0,-93404.0,-85404.0,-85745.0
2025-06-18,2025-06-19,1,Wednesday,10:30,13:00,24908.0,24900,24900,0.032,-0.079,0.3,0.659,11.63,76.25,99.8,176.05,38.8,163.75,202.55,-26.5,-1988.0,-2188.0,-93085.0,-85085.0,-85426.0
